288;The Funky 4+1;1980;	 
287;AC/DC;1980;	 
286;ABBA;1976;	 
285;Destiny's Child;1999;	 
284;Leonard Cohen;1967;	 
283;Ray Charles;1960;	 
282;INXS;1988;	 
281;Clipse;2002;	 
280;BTS;2017;	 
279;Radiohead;1997;	 
278;Toots and the Maytals;1973;	 
277;Bo Diddley;1955;	 
276;Buzzcocks;1978;	 
275;Randy Newman;1972;	 
274;Al Green;1972;	 
273;Roberta Flack;1973;	 
272;Thin Lizzy;1976;	 
271;Procol Harum;1967;	 
270;Nine Inch Nails;1994;	 
269;The Righteous Brothers;1965;	 
268;The Isley Brothers;1959;	 
267;SZA;2022;	 
266;Augustus Pablo;1974;	 
265;The Replacements;1985;	 
264;Marvin Gaye;1973;	 
263;Dolly Parton;1971;	 
262;Paul Simon;1973;	 
261;Curtis Mayfield;1972;	 
260;The Wailers;1973;	 
259;Neil Young;1973;	 
258;Gil-Scott Heron;1971;	 
257;Martha Reeves and the Vandellas;1963;	 
256;Metallica;1986;	 
255;Loretta Lynn;1970;	 
254;The Supremes;1965;	 
253;Willie Nelson;1975;	 
252;Parliament;1977;	 
251;Gloria Gaynor;1978;	 
250;The Jimi Hendrix Experience;1967;	 
249;Joan Jett;1980;	 
248;N.W.A;1988;	 
247;Joni Mitchell;1971;	 
246;Faces;1973;	 
245;Beastie Boys;1994;	 
244;Pavement;1992;	 
243;The Beatles;1966;	 
242;Jerry Lee Lewis;1957;	 
241;Digital Underground;1990;	 
240;Backstreet Boys;1999;	 
239;Big Star;1974;	 
238;Aaliyah;1998;	 
237;Hank Williams;1953;	 
236;Bill Withers;1972;	 
235;New Order;1983;	 
234;The Supremes;1966;	 
233;Deee-lite;1990;	 
232;The Who;1965;	 
231;Whitney Houston;1987;	 
230;The Byrds;1965;	 
229;Woody Guthrie;1951;	 
228;Beyoncé;2008;	 
227;Creedence Clearwater Revival;1969;	 
226;The Smiths;1986;	 
225;Joni Mitchell;1969;	 
224;Derek and the Dominoes;1970;	 
223;Eminem ft.Dido;2000;	 
222;Crosby, Stills, and Nash;1969;	 
221;Ike and Tina Turner;1966;	 
220;New Order;1986;	 
219;Tom Petty;1989;	 
218;Wilson Pickett;1965;	 
217;Stevie Nicks;1981;	 
216;Elvis Presley;1957;	 
215;Mobb Deep;1995;	 
214;Steely Dan;1977;	 
213;The Rolling Stones;1966;	 
212;Boston;1976;	 
211;U2;1987;	 
210;Funkadelic;1978;	 
209;Don Henley;1984;	 
208;Hole;1994;	 
207;Rage Against The Machine;1992;	 
206;Glen Campbell;1968;	 
205;Britney Spears;1998;	 
204;David Bowie;1975;	 
203;Stevie Wonder;1970;	 
202;Elton John;1970;	 
201;Johnny Cash;1963;	 
200;David Bowie;1971;	 
199;Aerosmith;1973;	 
198;Marvin Gaye;1982;	 
197;Ann Peebles;1973;	 
196;James Brown;1970;	 
195;Patsy Cline;1961;	 
194;PJ Harvey;1993;	 
193;The Rolling Stones;1971;	 
192;Geto Boys;1991;	 
191;Bobbie Gentry;1967;	 
190;N.W.A;1988;	 
189;David Bowie;1969;	 
188;The Jimi Hendrix Experience;1967;	 
187;Bob Dylan;1965;	 
186;The Staple Singers;1972;	 
185;Michael Jackson;1982;	 
184;Sinéad O’Connor;1990;	 
183;Stevie Wonder;1972;	 
182;Simon and Garfunkel;1964;	 
181;The Byrds;1966;	 
180;Lou Reed;1972;	 
179;Pink Floyd;1979;	 
178;Billie Eilish;2019;	 
177;Van Halen;1983;	 
176;The Kinks;1964;	 
175;The Flamingos;1959;	 
174;R.E.M;1983;	 
173;Television;1977;	 
172;Nina Simone;1964;	 
171;Louis Armstrong;1967;	 
170;The Five Satins;1956;	 
169;Tom Petty and the Heartbreakers;1976;	 
168;Dusty Springfield;1968;	 
167;Eminem;2002;	 
166;Mott the Hoople;1972;	 
165;Hank Williams;1949;	 
164;Bob Dylan;1965;	 
163;Fleetwood Mac;1975;	 
162;Nick Drake;1972;	 
161;Madonna;1985;	 
160;R.E.M;1992;	 
159;The Who;1971;	 
158;The Meters;1969;	 
157;Sonic Youth;1988;	 
156;The Kingsmen;1963;	 
155;The Strokes;2001;	 
154;Howlin' Wolf;1960;	 
153;Rick James;1981;	 
152;Creedence Clearwater Revival;1969;	 
151;The Shirelles;1960;	 
150;Green Day;1994;	 
149;Elton John;1972;	 
148;Led Zeppelin;1975;	 
147;Fats Domino;1956;	 
146;James Taylor;1970;	 
145;Outkast;2000;	 
144;The Rolling Stones;1968;	 
143;The Clash;1980;	 
142;George Jones;1980;	 
141;Rod Stewart;1971;	 
140;Bob Marley and the Wailers;1975;	 
139;Madonna;1990;	 
138;Blondie;1979;	 
137;Ariana Grande;2019;	 
136;Otis Redding;1966;	 
135;The Beatles;1964;	 
134;Tina Turner;1984;	 
133;Journey;1981;	 
132;Eric B. and Rakim;1987;	 
131;Ben E. King;1961;	 
130;Martha and the Vandellas;1964;	 
129;Drake ft.Majid Jordan;2013;	 
128;Led Zeppelin;1969;	 
127;TLC;1995;	 
126;George Michael;1990;	 
125;Sex Pistols;1977;	 
124;Buddy Holly;1957;	 
123;Talking Heads;1983;	 
122;The Impressions;1965;	 
121;The Beatles;1970;	 
120;X-Ray Spex;1977;	 
119;Marvin Gaye;1968;	 
118;Radiohead;1992;	 
117;Aretha Franklin;1968;	 
116;Rob Base and DJ E-Z Rock;1988;	 
115;Etta James;1960;	 
114;Britney Spears;2003;	 
113;Stevie Wonder;1973;	 
112;R.E.M;1991;	 
111;Bruce Springsteen;1975;	 
110;The Beatles;1969;	 
109;Sly and the Family Stone;1968;	 
108;The Cure;1987;	 
107;Wu-Tang Clan;1994;	 
106;The Rolling Stones;1968;	 
105;David Bowie;1971;	 
104;The Jackson 5;1969;	 
103;Alanis Morissette;1995;	 
102;Chuck Berry;1955;	 
101;Yeah Yeah Yeahs;2003;	 
100;Bob Dylan;1963;	 
99;Bee Gees;1977;	 
98;The Beatles;1965;	 
97;Patti Smith;1975;	 
96;Jay-Z;2003;	 
95;Oasis;1995;	 
94;Whitney Houston;1992;	 
93;Kelly Clarkson;2004;	 
92;Little Richard;1958;	 
91;UGK ft.Outkast;2007;	 
90;Aretha Franklin;1967;	 
89;The Beatles;1968;	 
88;Guns N' Roses;1987;	 
87;LCD Soundsystem;2007;	 
86;The Rolling Stones;1972;	 
85;Prince;1986;	 
84;Al Green;1971;	 
83;Bob Dylan;1965;	 
82;Adele;2011;	 
81;The Velvet Underground;1967;	 
80;Ray Charles;1957;	 
79;Amy Winehouse;2006;	 
78;The Four Tops;1967;	 
77;The Modern Lovers;1976;	 
76;Johnny Cash;1956;	 
75;Pulp;1996;	 
74;Leonard Cohen;1984;	 
73;Beyoncé;2016;	 
72;The Beatles;1965;	 
71;Tracy Chapman;1988;	 
70;Elvis Presley;1969;	 
69;Taylor Swift;2012;	 
68;Chic;1979;	 
67;Bob Dylan;1975;	 
66;Simon and Garfunkel;1970;	 
65;Earth, Wind, and Fire;1978;	 
